Gene name	Adrenal gland	Appendix	Brain	Colon	Duodenum	Endometrium	Esophagus	Fallopian tube	Fat	Gallbladder	Heart	Kidney	Liver	Lung	Lymph node	Ovary	Pancreas	Placenta	Prostate	Rectum	Salivary gland	Small intestine	Smooth muscle	Spleen	Stomach	Testis	Thyroid	Tonsil	Urinary bladder
FAM83F	0	0	4202130.216	762988.7889	364629.9422	0	0	263503.4291	0.00	0	573006.50	0	0.00	0	0	178895.5208	0	0	328465.053	328439.0498	430434.9744	13673777.48	0	0	1482473.479	926944.9502	488813.9269	214441.78	808961.265
FAM83G	266839.2514	125795.8551	0	485817.8736	1714649.916	167295.2466	346028.6764	35657.42242	0.00	715148.255	0.00	0	1915505.36	472709.5701	0	2958076.601	0	0	0	1541259.504	269656.5249	1731655.817	241541.4912	0	1775296.988	0	963764.158	1500590.641	0
FAM83H	1009640.306	1279111.312	315500.8516	18335780.87	16878796.96	2817503.875	7613299.719	19816180.35	811556.21	5122055.362	6100817.81	3207979.673	7586636.41	23454306.87	1589410.531	38871786.21	4435582.928	17989083.87	5514496.421	8471343.001	9947267.565	43875308.33	2687822.838	2224308.285	12632220.39	372463.067	8362181.575	26243671.3	12839616.8
FAM84A	603252.0445	344964.6528	9240352.683	14345664.05	3537831.158	207454.5738	0	752083.7639	921444.86	31663863.97	45407.32	0	2156100.59	2276067.834	0	1753276.652	1538453.703	165193355.1	8309685.963	13171207.24	346299.4765	19929075.04	4502389.234	0	155606.4089	4122208.154	13424054.18	0	1828304.008
FAM84B	1170812.983	446415.427	20883720.84	4299920.376	16924517.59	8233085.466	3589595.653	5663237.678	602381.96	10124636.75	7219473.71	39498919.64	8649283.88	1919453.045	2409487.009	23553522.76	21947597.96	9965666.235	11268753.56	8111855.39	79906180.94	7179342.629	4825207.168	339833.2447	17732388.98	2731386.013	4733390.449	1137183.314	2263339.98
FAM89A	10265212.35	1168398.927	0	1698947.405	2882544.107	6306729.127	2176991.587	3757556.864	5496987.73	4588335.38	906501.22	3723508.631	1314498.61	1638412.709	5823238.242	1983403.335	173968.1811	11135558.67	4241235.215	215148.0998	0	1374749.213	3709788.804	0	4225944.035	1974568.611	345780.5546	0	0
FAM89B	185871.0827	0	838542.1534	645905.9929	137846.1361	303618.9089	0	153782.4125	0.00	0	213489.02	0	345978.76	65626.23145	0	0	0	255019.5135	1237778.045	0	281142.2333	60753.6416	339065.4678	0	2022861.066	0	0	297691.418	0
FAM8A1	3893867.551	0	3632274.675	3240315.718	2030469.139	11729190.94	1810404.072	5210158.312	2816711.19	6032196.621	2297509.62	3031315.44	14670459.15	5452679.458	2281956.452	14092218.54	6713056.118	2161858.996	1737677.353	3648345.528	3361770.251	1837003.92	6036792.317	175159.3534	3648566.458	8438679.598	4246037.831	171180.4297	1159135.152
FAM91A1	15729408.2	4204644.83	7688466.792	7596842.176	24796034.26	12067909.57	6778126.728	21490106.37	6739462.81	12452161.94	2240662.89	19759791.06	10919720.89	30623182.06	4859650.974	10723838.56	24386562.88	34075104.84	15133069.25	10809059.52	21823919.46	13180992.14	9809011.977	7994556.516	14067135.31	19872987.43	30911045.5	11818976.94	8372024.356
FAM92A1	0	255438.9898	0	684994.7873	0	0	0	12255911.33	911467.76	2029296.758	1940100.28	0	0.00	0	0	0	0	0	1989835.797	0	0	389004.4005	574945.5273	0	0	145064.6404	0	249846.282	0
FAM92B	0	3445086.07	4535696.979	0	271637.325	1963932.937	479661.1324	49577974.3	338391.14	0	912289.47	0	1019919.41	88529.08638	0	0	5491721.866	0	0	0	460780.8602	0	243460.9491	412200.3118	0	0	0	0	337563.7469
FAM96A	31349291.32	16701462.89	9462955.804	23549659.98	16952895.92	562685.7334	7337005.48	19611391.53	1237492.92	12666067.31	9939952.24	15542061.66	41235164.66	44311475.27	16290498.09	0	7574679.695	17868119.26	7416194.327	16998528.74	6890566.318	13906530.04	6591108.518	14125829.05	13554652.45	11504213.19	56872376.93	23458946.57	14204837.67
